待翻译: 17922 条 (样本=0, 限制=0)
共 1793 批, 并发 6
进度 10/17922 | 输入 609 tok | 输出 322 tok | 费用 ¥0.0013 | 2s
进度 14330/17922 | 输入 2140609 tok | 输出 1628612 tok | 费用 ¥5.3978 | 1596s
进度 14340/17922 | 输入 2143534 tok | 输出 1631218 tok | 费用 ¥5.4060 | 1596s
进度 14350/17922 | 输入 2144846 tok | 输出 1632206 tok | 费用 ¥5.4093 | 1597s
进度 14360/17922 | 输入 2146113 tok | 输出 1633141 tok | 费用 ¥5.4124 | 1598s
进度 14370/17922 | 输入 2147892 tok | 输出 1634503 tok | 费用 ¥5.4169 | 1598s
进度 14380/17922 | 输入 2151238 tok | 输出 1637500 tok | 费用 ¥5.4262 | 1599s
进度 14390/17922 | 输入 2152130 tok | 输出 1638098 tok | 费用 ¥5.4283 | 1600s
进度 14400/17922 | 输入 2153250 tok | 输出 1638904 tok | 费用 ¥5.4311 | 1601s
进度 14410/17922 | 输入 2154689 tok | 输出 1639970 tok | 费用 ¥5.4346 | 1603s
进度 14420/17922 | 输入 2155706 tok | 输出 1640693 tok | 费用 ¥5.4371 | 1605s
进度 14430/17922 | 输入 2157374 tok | 输出 1641995 tok | 费用 ¥5.4414 | 1606s
进度 14440/17922 | 输入 2159099 tok | 输出 1643374 tok | 费用 ¥5.4458 | 1607s
进度 14450/17922 | 输入 2160244 tok | 输出 1644180 tok | 费用 ¥5.4486 | 1610s
进度 14460/17922 | 输入 2162716 tok | 输出 1646248 tok | 费用 ¥5.4552 | 1610s
进度 14470/17922 | 输入 2164029 tok | 输出 1647207 tok | 费用 ¥5.4584 | 1611s
进度 14480/17922 | 输入 2166709 tok | 输出 1649437 tok | 费用 ¥5.4656 | 1611s
进度 14490/17922 | 输入 2167896 tok | 输出 1650298 tok | 费用 ¥5.4685 | 1613s
进度 14500/17922 | 输入 2170092 tok | 输出 1652123 tok | 费用 ¥5.4743 | 1614s
进度 14510/17922 | 输入 2171390 tok | 输出 1653078 tok | 费用 ¥5.4775 | 1617s
进度 14520/17922 | 输入 2172898 tok | 输出 1654261 tok | 费用 ¥5.4814 | 1617s
进度 14530/17922 | 输入 2174445 tok | 输出 1655463 tok | 费用 ¥5.4854 | 1617s
进度 14540/17922 | 输入 2176244 tok | 输出 1656958 tok | 费用 ¥5.4902 | 1621s
进度 14550/17922 | 输入 2178367 tok | 输出 1658732 tok | 费用 ¥5.4958 | 1621s
进度 14560/17922 | 输入 2179912 tok | 输出 1659944 tok | 费用 ¥5.4998 | 1624s
  批次失败(第1次, 深度0): id 映射缺失: 7/10; 1s 后重试
进度 14570/17922 | 输入 2182353 tok | 输出 1661979 tok | 费用 ¥5.5063 | 1628s
进度 14580/17922 | 输入 2184151 tok | 输出 1663415 tok | 费用 ¥5.5110 | 1629s
进度 14590/17922 | 输入 2187463 tok | 输出 1666402 tok | 费用 ¥5.5203 | 1630s
进度 14600/17922 | 输入 2189269 tok | 输出 1667900 tok | 费用 ¥5.5251 | 1630s
进度 14610/17922 | 输入 2191298 tok | 输出 1669535 tok | 费用 ¥5.5304 | 1633s
进度 14620/17922 | 输入 2192248 tok | 输出 1670190 tok | 费用 ¥5.5326 | 1633s
进度 14630/17922 | 输入 2193513 tok | 输出 1671122 tok | 费用 ¥5.5358 | 1635s
进度 14640/17922 | 输入 2194986 tok | 输出 1672256 tok | 费用 ¥5.5395 | 1636s
  批次失败(第2次, 深度0): id 映射缺失: 8/10; 2s 后重试
进度 14650/17922 | 输入 2196917 tok | 输出 1673820 tok | 费用 ¥5.5446 | 1637s
进度 14660/17922 | 输入 2198127 tok | 输出 1674682 tok | 费用 ¥5.5475 | 1639s
进度 14670/17922 | 输入 2200269 tok | 输出 1676404 tok | 费用 ¥5.5531 | 1643s
进度 14680/17922 | 输入 2201812 tok | 输出 1677572 tok | 费用 ¥5.5570 | 1644s
进度 14690/17922 | 输入 2203285 tok | 输出 1678693 tok | 费用 ¥5.5607 | 1645s
进度 14700/17922 | 输入 2205678 tok | 输出 1680695 tok | 费用 ¥5.5671 | 1647s
进度 14710/17922 | 输入 2208026 tok | 输出 1682601 tok | 费用 ¥5.5732 | 1647s
  批次失败(第3次, 深度0): id 映射缺失: 8/10; 4s 后重试
进度 14720/17922 | 输入 2209207 tok | 输出 1683444 tok | 费用 ¥5.5761 | 1649s
进度 14730/17922 | 输入 2210408 tok | 输出 1684314 tok | 费用 ¥5.5790 | 1651s
进度 14740/17922 | 输入 2212040 tok | 输出 1685574 tok | 费用 ¥5.5832 | 1651s
进度 14750/17922 | 输入 2213518 tok | 输出 1686688 tok | 费用 ¥5.5869 | 1653s
进度 14760/17922 | 输入 2214868 tok | 输出 1687708 tok | 费用 ¥5.5903 | 1654s
进度 14770/17922 | 输入 2215866 tok | 输出 1688394 tok | 费用 ¥5.5927 | 1655s
进度 14780/17922 | 输入 2217666 tok | 输出 1689814 tok | 费用 ¥5.5973 | 1655s
进度 14790/17922 | 输入 2218472 tok | 输出 1690317 tok | 费用 ¥5.5991 | 1658s
进度 14800/17922 | 输入 2219993 tok | 输出 1691524 tok | 费用 ¥5.6030 | 1659s
进度 14810/17922 | 输入 2221676 tok | 输出 1692895 tok | 费用 ¥5.6075 | 1661s
  批次失败(第4次, 深度0): id 映射缺失: 8/10; 8s 后重试
进度 14820/17922 | 输入 2223142 tok | 输出 1694026 tok | 费用 ¥5.6112 | 1661s
进度 14830/17922 | 输入 2224713 tok | 输出 1695243 tok | 费用 ¥5.6152 | 1662s
进度 14840/17922 | 输入 2226054 tok | 输出 1696253 tok | 费用 ¥5.6186 | 1664s
进度 14850/17922 | 输入 2227106 tok | 输出 1696991 tok | 费用 ¥5.6211 | 1665s
进度 14860/17922 | 输入 2228645 tok | 输出 1698204 tok | 费用 ¥5.6251 | 1665s
进度 14870/17922 | 输入 2229705 tok | 输出 1698971 tok | 费用 ¥5.6276 | 1665s
进度 14880/17922 | 输入 2230520 tok | 输出 1699457 tok | 费用 ¥5.6294 | 1669s
进度 14890/17922 | 输入 2232250 tok | 输出 1700807 tok | 费用 ¥5.6339 | 1670s
进度 14900/17922 | 输入 2233254 tok | 输出 1701491 tok | 费用 ¥5.6362 | 1670s
进度 14910/17922 | 输入 2234624 tok | 输出 1702510 tok | 费用 ¥5.6396 | 1671s
进度 14920/17922 | 输入 2236069 tok | 输出 1703624 tok | 费用 ¥5.6433 | 1672s
进度 14930/17922 | 输入 2237107 tok | 输出 1704330 tok | 费用 ¥5.6458 | 1673s
  批次失败(第1次, 深度1): id 映射缺失: 4/5; 1s 后重试
进度 14940/17922 | 输入 2238077 tok | 输出 1704986 tok | 费用 ¥5.6480 | 1675s
进度 14950/17922 | 输入 2238952 tok | 输出 1705547 tok | 费用 ¥5.6500 | 1675s
进度 14960/17922 | 输入 2240250 tok | 输出 1706534 tok | 费用 ¥5.6533 | 1675s
进度 14970/17922 | 输入 2241130 tok | 输出 1707051 tok | 费用 ¥5.6552 | 1678s
进度 14980/17922 | 输入 2243091 tok | 输出 1708638 tok | 费用 ¥5.6604 | 1680s
  批次失败(第2次, 深度1): id 映射缺失: 4/5; 2s 后重试
进度 14990/17922 | 输入 2244431 tok | 输出 1709611 tok | 费用 ¥5.6637 | 1681s
进度 15000/17922 | 输入 2246496 tok | 输出 1711269 tok | 费用 ¥5.6690 | 1681s
进度 15010/17922 | 输入 2247580 tok | 输出 1712035 tok | 费用 ¥5.6716 | 1683s
进度 15020/17922 | 输入 2248420 tok | 输出 1712560 tok | 费用 ¥5.6735 | 1683s
进度 15030/17922 | 输入 2249250 tok | 输出 1713086 tok | 费用 ¥5.6754 | 1684s
进度 15040/17922 | 输入 2251239 tok | 输出 1714687 tok | 费用 ¥5.6806 | 1685s
  批次失败(第1次, 深度2): id 映射缺失: 1/2; 1s 后重试
进度 15050/17922 | 输入 2252409 tok | 输出 1715524 tok | 费用 ¥5.6835 | 1686s
进度 15060/17922 | 输入 2253596 tok | 输出 1716345 tok | 费用 ¥5.6863 | 1688s
进度 15070/17922 | 输入 2254487 tok | 输出 1716925 tok | 费用 ¥5.6883 | 1688s
  批次失败(第2次, 深度2): id 映射缺失: 1/2; 2s 后重试
进度 15080/17922 | 输入 2255353 tok | 输出 1717486 tok | 费用 ¥5.6903 | 1690s
进度 15090/17922 | 输入 2256818 tok | 输出 1718594 tok | 费用 ¥5.6940 | 1690s
进度 15100/17922 | 输入 2258543 tok | 输出 1719956 tok | 费用 ¥5.6985 | 1691s
进度 15110/17922 | 输入 2259386 tok | 输出 1720485 tok | 费用 ¥5.7004 | 1691s
进度 15120/17922 | 输入 2260352 tok | 输出 1721147 tok | 费用 ¥5.7026 | 1694s
进度 15130/17922 | 输入 2261202 tok | 输出 1721704 tok | 费用 ¥5.7046 | 1694s
进度 15140/17922 | 输入 2262194 tok | 输出 1722381 tok | 费用 ¥5.7070 | 1694s
进度 15150/17922 | 输入 2263336 tok | 输出 1723210 tok | 费用 ¥5.7098 | 1696s
进度 15160/17922 | 输入 2265223 tok | 输出 1724734 tok | 费用 ¥5.7147 | 1697s
进度 15170/17922 | 输入 2266624 tok | 输出 1725756 tok | 费用 ¥5.7181 | 1700s
进度 15180/17922 | 输入 2267895 tok | 输出 1726678 tok | 费用 ¥5.7213 | 1700s
进度 15190/17922 | 输入 2269208 tok | 输出 1727664 tok | 费用 ¥5.7245 | 1700s
进度 15200/17922 | 输入 2270437 tok | 输出 1728545 tok | 费用 ¥5.7275 | 1702s
进度 15210/17922 | 输入 2271664 tok | 输出 1729448 tok | 费用 ¥5.7306 | 1702s
进度 15220/17922 | 输入 2274423 tok | 输出 1731184 tok | 费用 ¥5.7368 | 1703s
进度 15230/17922 | 输入 2275596 tok | 输出 1732037 tok | 费用 ¥5.7397 | 1705s
进度 15240/17922 | 输入 2277019 tok | 输出 1733156 tok | 费用 ¥5.7433 | 1706s
进度 15250/17922 | 输入 2278066 tok | 输出 1733862 tok | 费用 ¥5.7458 | 1706s
进度 15260/17922 | 输入 2278918 tok | 输出 1734391 tok | 费用 ¥5.7477 | 1707s
进度 15270/17922 | 输入 2280287 tok | 输出 1735437 tok | 费用 ¥5.7512 | 1708s
进度 15280/17922 | 输入 2282190 tok | 输出 1736966 tok | 费用 ¥5.7561 | 1709s
进度 15290/17922 | 输入 2283372 tok | 输出 1737779 tok | 费用 ¥5.7589 | 1711s
进度 15300/17922 | 输入 2284547 tok | 输出 1738662 tok | 费用 ¥5.7619 | 1712s
进度 15310/17922 | 输入 2286154 tok | 输出 1739926 tok | 费用 ¥5.7660 | 1712s
进度 15320/17922 | 输入 2288125 tok | 输出 1741520 tok | 费用 ¥5.7712 | 1715s
进度 15330/17922 | 输入 2289913 tok | 输出 1743027 tok | 费用 ¥5.7760 | 1716s
进度 15340/17922 | 输入 2290810 tok | 输出 1743636 tok | 费用 ¥5.7781 | 1716s
进度 15350/17922 | 输入 2291641 tok | 输出 1744167 tok | 费用 ¥5.7800 | 1719s
进度 15360/17922 | 输入 2292718 tok | 输出 1744904 tok | 费用 ¥5.7825 | 1721s
进度 15370/17922 | 输入 2293912 tok | 输出 1745772 tok | 费用 ¥5.7855 | 1721s
进度 15380/17922 | 输入 2294686 tok | 输出 1746217 tok | 费用 ¥5.7871 | 1724s
进度 15390/17922 | 输入 2297676 tok | 输出 1748736 tok | 费用 ¥5.7951 | 1724s
进度 15400/17922 | 输入 2301271 tok | 输出 1751871 tok | 费用 ¥5.8050 | 1725s
进度 15410/17922 | 输入 2302292 tok | 输出 1752574 tok | 费用 ¥5.8074 | 1725s
进度 15420/17922 | 输入 2305806 tok | 输出 1755618 tok | 费用 ¥5.8170 | 1726s
进度 15430/17922 | 输入 2306888 tok | 输出 1756350 tok | 费用 ¥5.8196 | 1729s
进度 15440/17922 | 输入 2308047 tok | 输出 1757172 tok | 费用 ¥5.8224 | 1730s
进度 15450/17922 | 输入 2309042 tok | 输出 1757831 tok | 费用 ¥5.8247 | 1731s
进度 15460/17922 | 输入 2310448 tok | 输出 1758850 tok | 费用 ¥5.8281 | 1731s
进度 15470/17922 | 输入 2311418 tok | 输出 1759486 tok | 费用 ¥5.8304 | 1732s
进度 15480/17922 | 输入 2313201 tok | 输出 1760858 tok | 费用 ¥5.8349 | 1733s
进度 15490/17922 | 输入 2313826 tok | 输出 1761185 tok | 费用 ¥5.8362 | 1733s
进度 15500/17922 | 输入 2314388 tok | 输出 1761459 tok | 费用 ¥5.8373 | 1733s
进度 15510/17922 | 输入 2315296 tok | 输出 1762070 tok | 费用 ¥5.8394 | 1733s
进度 15520/17922 | 输入 2316234 tok | 输出 1762695 tok | 费用 ¥5.8416 | 1737s
进度 15530/17922 | 输入 2320412 tok | 输出 1766225 tok | 费用 ¥5.8529 | 1737s
进度 15540/17922 | 输入 2321578 tok | 输出 1767067 tok | 费用 ¥5.8557 | 1738s
进度 15550/17922 | 输入 2323105 tok | 输出 1768213 tok | 费用 ¥5.8595 | 1740s
进度 15560/17922 | 输入 2324824 tok | 输出 1769551 tok | 费用 ¥5.8639 | 1741s
进度 15570/17922 | 输入 2325908 tok | 输出 1770274 tok | 费用 ¥5.8665 | 1741s
进度 15580/17922 | 输入 2327712 tok | 输出 1771641 tok | 费用 ¥5.8710 | 1742s
进度 15590/17922 | 输入 2329146 tok | 输出 1772685 tok | 费用 ¥5.8745 | 1743s
进度 15600/17922 | 输入 2330496 tok | 输出 1773729 tok | 费用 ¥5.8780 | 1744s
进度 15610/17922 | 输入 2331727 tok | 输出 1774636 tok | 费用 ¥5.8810 | 1745s
进度 15620/17922 | 输入 2332640 tok | 输出 1775266 tok | 费用 ¥5.8832 | 1745s
进度 15630/17922 | 输入 2333867 tok | 输出 1776187 tok | 费用 ¥5.8862 | 1747s
进度 15640/17922 | 输入 2335124 tok | 输出 1777122 tok | 费用 ¥5.8894 | 1747s
进度 15650/17922 | 输入 2335953 tok | 输出 1777631 tok | 费用 ¥5.8912 | 1749s
进度 15660/17922 | 输入 2337003 tok | 输出 1778331 tok | 费用 ¥5.8937 | 1749s
进度 15670/17922 | 输入 2338166 tok | 输出 1779134 tok | 费用 ¥5.8964 | 1750s
进度 15680/17922 | 输入 2339778 tok | 输出 1780379 tok | 费用 ¥5.9005 | 1750s
进度 15690/17922 | 输入 2340671 tok | 输出 1780946 tok | 费用 ¥5.9026 | 1751s
进度 15700/17922 | 输入 2341594 tok | 输出 1781580 tok | 费用 ¥5.9048 | 1752s
进度 15710/17922 | 输入 2342982 tok | 输出 1782593 tok | 费用 ¥5.9082 | 1753s
进度 15720/17922 | 输入 2344678 tok | 输出 1783910 tok | 费用 ¥5.9125 | 1756s
进度 15730/17922 | 输入 2346056 tok | 输出 1784928 tok | 费用 ¥5.9159 | 1757s
进度 15740/17922 | 输入 2347261 tok | 输出 1785791 tok | 费用 ¥5.9188 | 1758s
进度 15750/17922 | 输入 2349078 tok | 输出 1787243 tok | 费用 ¥5.9236 | 1758s
进度 15760/17922 | 输入 2350398 tok | 输出 1788207 tok | 费用 ¥5.9268 | 1759s
进度 15770/17922 | 输入 2351420 tok | 输出 1788895 tok | 费用 ¥5.9292 | 1760s
进度 15780/17922 | 输入 2353470 tok | 输出 1790680 tok | 费用 ¥5.9348 | 1761s
进度 15790/17922 | 输入 2354741 tok | 输出 1791583 tok | 费用 ¥5.9379 | 1762s
进度 15800/17922 | 输入 2355972 tok | 输出 1792457 tok | 费用 ¥5.9409 | 1763s
进度 15810/17922 | 输入 2356787 tok | 输出 1792954 tok | 费用 ¥5.9427 | 1764s
进度 15820/17922 | 输入 2357996 tok | 输出 1793843 tok | 费用 ¥5.9457 | 1765s
进度 15830/17922 | 输入 2359403 tok | 输出 1794881 tok | 费用 ¥5.9492 | 1765s
进度 15840/17922 | 输入 2360204 tok | 输出 1795384 tok | 费用 ¥5.9510 | 1767s
进度 15850/17922 | 输入 2361270 tok | 输出 1796136 tok | 费用 ¥5.9535 | 1767s
进度 15860/17922 | 输入 2362642 tok | 输出 1797145 tok | 费用 ¥5.9569 | 1768s
进度 15870/17922 | 输入 2363756 tok | 输出 1797914 tok | 费用 ¥5.9596 | 1770s
进度 15880/17922 | 输入 2365003 tok | 输出 1798786 tok | 费用 ¥5.9626 | 1771s
进度 15890/17922 | 输入 2367892 tok | 输出 1801071 tok | 费用 ¥5.9700 | 1771s
进度 15900/17922 | 输入 2369091 tok | 输出 1801919 tok | 费用 ¥5.9729 | 1772s
进度 15910/17922 | 输入 2370329 tok | 输出 1802811 tok | 费用 ¥5.9760 | 1773s
进度 15920/17922 | 输入 2371565 tok | 输出 1803706 tok | 费用 ¥5.9790 | 1773s
进度 15930/17922 | 输入 2372435 tok | 输出 1804255 tok | 费用 ¥5.9809 | 1776s
进度 15940/17922 | 输入 2373293 tok | 输出 1804819 tok | 费用 ¥5.9829 | 1776s
进度 15950/17922 | 输入 2374528 tok | 输出 1805711 tok | 费用 ¥5.9860 | 1776s
进度 15960/17922 | 输入 2375310 tok | 输出 1806183 tok | 费用 ¥5.9877 | 1776s
进度 15970/17922 | 输入 2376587 tok | 输出 1807184 tok | 费用 ¥5.9910 | 1777s
进度 15980/17922 | 输入 2377431 tok | 输出 1807720 tok | 费用 ¥5.9929 | 1780s
进度 15990/17922 | 输入 2378621 tok | 输出 1808604 tok | 费用 ¥5.9958 | 1782s
进度 16000/17922 | 输入 2379914 tok | 输出 1809579 tok | 费用 ¥5.9991 | 1782s
进度 16010/17922 | 输入 2381310 tok | 输出 1810665 tok | 费用 ¥6.0026 | 1782s
进度 16020/17922 | 输入 2383873 tok | 输出 1812805 tok | 费用 ¥6.0095 | 1783s
进度 16030/17922 | 输入 2385346 tok | 输出 1813947 tok | 费用 ¥6.0132 | 1784s
进度 16040/17922 | 输入 2386562 tok | 输出 1814790 tok | 费用 ¥6.0161 | 1787s
进度 16050/17922 | 输入 2387606 tok | 输出 1815541 tok | 费用 ¥6.0187 | 1788s
进度 16060/17922 | 输入 2389263 tok | 输出 1816882 tok | 费用 ¥6.0230 | 1789s
进度 16070/17922 | 输入 2390634 tok | 输出 1817927 tok | 费用 ¥6.0265 | 1790s
进度 16080/17922 | 输入 2392279 tok | 输出 1819233 tok | 费用 ¥6.0307 | 1790s
进度 16090/17922 | 输入 2394690 tok | 输出 1821308 tok | 费用 ¥6.0373 | 1791s
进度 16100/17922 | 输入 2396039 tok | 输出 1822380 tok | 费用 ¥6.0408 | 1794s
进度 16110/17922 | 输入 2398058 tok | 输出 1823953 tok | 费用 ¥6.0460 | 1797s
进度 16120/17922 | 输入 2399731 tok | 输出 1825216 tok | 费用 ¥6.0502 | 1798s
进度 16130/17922 | 输入 2401433 tok | 输出 1826509 tok | 费用 ¥6.0545 | 1799s
进度 16140/17922 | 输入 2402515 tok | 输出 1827247 tok | 费用 ¥6.0570 | 1799s
进度 16150/17922 | 输入 2405164 tok | 输出 1829423 tok | 费用 ¥6.0640 | 1801s
进度 16160/17922 | 输入 2407442 tok | 输出 1831224 tok | 费用 ¥6.0699 | 1801s
进度 16170/17922 | 输入 2408593 tok | 输出 1831997 tok | 费用 ¥6.0726 | 1802s
进度 16180/17922 | 输入 2409951 tok | 输出 1832988 tok | 费用 ¥6.0759 | 1804s
进度 16190/17922 | 输入 2411330 tok | 输出 1834034 tok | 费用 ¥6.0794 | 1806s
进度 16200/17922 | 输入 2413050 tok | 输出 1835393 tok | 费用 ¥6.0838 | 1807s
进度 16210/17922 | 输入 2414572 tok | 输出 1836558 tok | 费用 ¥6.0877 | 1808s
进度 16220/17922 | 输入 2416228 tok | 输出 1837846 tok | 费用 ¥6.0919 | 1810s
进度 16230/17922 | 输入 2417587 tok | 输出 1838874 tok | 费用 ¥6.0953 | 1811s
进度 16240/17922 | 输入 2420491 tok | 输出 1841439 tok | 费用 ¥6.1034 | 1815s
进度 16250/17922 | 输入 2422918 tok | 输出 1843532 tok | 费用 ¥6.1100 | 1817s
进度 16260/17922 | 输入 2425273 tok | 输出 1845503 tok | 费用 ¥6.1163 | 1818s
进度 16270/17922 | 输入 2428001 tok | 输出 1847829 tok | 费用 ¥6.1237 | 1821s
进度 16280/17922 | 输入 2430282 tok | 输出 1849757 tok | 费用 ¥6.1298 | 1821s
进度 16290/17922 | 输入 2432901 tok | 输出 1851921 tok | 费用 ¥6.1367 | 1822s
进度 16300/17922 | 输入 2434189 tok | 输出 1852879 tok | 费用 ¥6.1399 | 1823s
进度 16310/17922 | 输入 2435731 tok | 输出 1854078 tok | 费用 ¥6.1439 | 1824s
进度 16320/17922 | 输入 2438136 tok | 输出 1856049 tok | 费用 ¥6.1502 | 1826s
进度 16330/17922 | 输入 2439296 tok | 输出 1856865 tok | 费用 ¥6.1530 | 1827s
进度 16340/17922 | 输入 2440585 tok | 输出 1857792 tok | 费用 ¥6.1562 | 1827s
进度 16350/17922 | 输入 2441735 tok | 输出 1858599 tok | 费用 ¥6.1589 | 1827s
进度 16360/17922 | 输入 2442825 tok | 输出 1859390 tok | 费用 ¥6.1616 | 1828s
进度 16370/17922 | 输入 2444048 tok | 输出 1860307 tok | 费用 ¥6.1647 | 1832s
进度 16380/17922 | 输入 2445784 tok | 输出 1861698 tok | 费用 ¥6.1692 | 1832s
进度 16390/17922 | 输入 2447121 tok | 输出 1862744 tok | 费用 ¥6.1726 | 1833s
进度 16400/17922 | 输入 2448490 tok | 输出 1863824 tok | 费用 ¥6.1761 | 1833s
进度 16410/17922 | 输入 2449709 tok | 输出 1864786 tok | 费用 ¥6.1793 | 1834s
进度 16420/17922 | 输入 2450949 tok | 输出 1865730 tok | 费用 ¥6.1824 | 1834s
进度 16430/17922 | 输入 2451925 tok | 输出 1866440 tok | 费用 ¥6.1848 | 1836s
进度 16440/17922 | 输入 2453211 tok | 输出 1867400 tok | 费用 ¥6.1880 | 1838s
进度 16450/17922 | 输入 2454388 tok | 输出 1868295 tok | 费用 ¥6.1910 | 1839s
进度 16460/17922 | 输入 2455635 tok | 输出 1869235 tok | 费用 ¥6.1941 | 1839s
进度 16470/17922 | 输入 2456969 tok | 输出 1870252 tok | 费用 ¥6.1975 | 1839s
进度 16480/17922 | 输入 2458380 tok | 输出 1871334 tok | 费用 ¥6.2010 | 1839s
进度 16490/17922 | 输入 2459562 tok | 输出 1872218 tok | 费用 ¥6.2040 | 1843s
进度 16500/17922 | 输入 2461101 tok | 输出 1873416 tok | 费用 ¥6.2079 | 1843s
进度 16510/17922 | 输入 2462193 tok | 输出 1874184 tok | 费用 ¥6.2106 | 1844s
进度 16520/17922 | 输入 2463601 tok | 输出 1875291 tok | 费用 ¥6.2142 | 1845s
进度 16530/17922 | 输入 2465080 tok | 输出 1876428 tok | 费用 ¥6.2179 | 1845s
进度 16540/17922 | 输入 2466470 tok | 输出 1877495 tok | 费用 ¥6.2215 | 1846s
进度 16550/17922 | 输入 2467581 tok | 输出 1878303 tok | 费用 ¥6.2242 | 1848s
进度 16560/17922 | 输入 2468844 tok | 输出 1879243 tok | 费用 ¥6.2273 | 1848s
进度 16570/17922 | 输入 2469634 tok | 输出 1879694 tok | 费用 ¥6.2290 | 1848s
进度 16580/17922 | 输入 2470830 tok | 输出 1880566 tok | 费用 ¥6.2320 | 1849s
进度 16590/17922 | 输入 2471982 tok | 输出 1881371 tok | 费用 ¥6.2347 | 1850s
进度 16600/17922 | 输入 2472788 tok | 输出 1881859 tok | 费用 ¥6.2365 | 1851s
进度 16610/17922 | 输入 2473649 tok | 输出 1882403 tok | 费用 ¥6.2385 | 1852s
进度 16620/17922 | 输入 2475290 tok | 输出 1883714 tok | 费用 ¥6.2427 | 1853s
进度 16630/17922 | 输入 2476467 tok | 输出 1884565 tok | 费用 ¥6.2456 | 1853s
进度 16640/17922 | 输入 2477529 tok | 输出 1885311 tok | 费用 ¥6.2482 | 1853s
进度 16650/17922 | 输入 2478406 tok | 输出 1885872 tok | 费用 ¥6.2501 | 1854s
进度 16660/17922 | 输入 2479171 tok | 输出 1886318 tok | 费用 ¥6.2518 | 1854s
进度 16670/17922 | 输入 2479977 tok | 输出 1886813 tok | 费用 ¥6.2536 | 1855s
进度 16680/17922 | 输入 2480795 tok | 输出 1887308 tok | 费用 ¥6.2554 | 1858s
进度 16690/17922 | 输入 2482128 tok | 输出 1888276 tok | 费用 ¥6.2587 | 1859s
进度 16700/17922 | 输入 2483377 tok | 输出 1889179 tok | 费用 ¥6.2617 | 1859s
进度 16710/17922 | 输入 2484765 tok | 输出 1890202 tok | 费用 ¥6.2652 | 1859s
进度 16720/17922 | 输入 2485948 tok | 输出 1891045 tok | 费用 ¥6.2680 | 1859s
进度 16730/17922 | 输入 2487416 tok | 输出 1892125 tok | 费用 ¥6.2717 | 1860s
进度 16740/17922 | 输入 2488034 tok | 输出 1892444 tok | 费用 ¥6.2729 | 1861s
进度 16750/17922 | 输入 2488790 tok | 输出 1892881 tok | 费用 ¥6.2746 | 1861s
进度 16760/17922 | 输入 2489618 tok | 输出 1893402 tok | 费用 ¥6.2764 | 1863s
进度 16770/17922 | 输入 2490392 tok | 输出 1893891 tok | 费用 ¥6.2782 | 1863s
进度 16780/17922 | 输入 2491311 tok | 输出 1894497 tok | 费用 ¥6.2803 | 1863s
进度 16790/17922 | 输入 2492290 tok | 输出 1895156 tok | 费用 ¥6.2826 | 1864s
进度 16800/17922 | 输入 2493036 tok | 输出 1895617 tok | 费用 ¥6.2843 | 1864s
进度 16810/17922 | 输入 2494009 tok | 输出 1896297 tok | 费用 ¥6.2866 | 1865s
进度 16820/17922 | 输入 2495007 tok | 输出 1896958 tok | 费用 ¥6.2889 | 1867s
进度 16830/17922 | 输入 2496103 tok | 输出 1897713 tok | 费用 ¥6.2915 | 1868s
进度 16840/17922 | 输入 2497178 tok | 输出 1898441 tok | 费用 ¥6.2941 | 1868s
进度 16850/17922 | 输入 2498427 tok | 输出 1899366 tok | 费用 ¥6.2972 | 1868s
进度 16860/17922 | 输入 2499600 tok | 输出 1900178 tok | 费用 ¥6.3000 | 1869s
进度 16870/17922 | 输入 2500565 tok | 输出 1900819 tok | 费用 ¥6.3022 | 1869s
进度 16880/17922 | 输入 2501732 tok | 输出 1901616 tok | 费用 ¥6.3050 | 1872s
进度 16890/17922 | 输入 2502777 tok | 输出 1902284 tok | 费用 ¥6.3073 | 1873s
进度 16900/17922 | 输入 2504307 tok | 输出 1903421 tok | 费用 ¥6.3111 | 1874s
进度 16910/17922 | 输入 2505795 tok | 输出 1904506 tok | 费用 ¥6.3148 | 1875s
进度 16920/17922 | 输入 2507232 tok | 输出 1905612 tok | 费用 ¥6.3185 | 1875s
进度 16930/17922 | 输入 2508971 tok | 输出 1906964 tok | 费用 ¥6.3229 | 1876s
进度 16940/17922 | 输入 2509965 tok | 输出 1907605 tok | 费用 ¥6.3252 | 1878s
进度 16950/17922 | 输入 2510865 tok | 输出 1908194 tok | 费用 ¥6.3273 | 1878s
进度 16960/17922 | 输入 2512180 tok | 输出 1909122 tok | 费用 ¥6.3304 | 1879s
进度 16970/17922 | 输入 2513383 tok | 输出 1909983 tok | 费用 ¥6.3333 | 1880s
进度 16980/17922 | 输入 2514258 tok | 输出 1910526 tok | 费用 ¥6.3353 | 1881s
进度 16990/17922 | 输入 2515108 tok | 输出 1911059 tok | 费用 ¥6.3372 | 1882s
进度 17000/17922 | 输入 2517081 tok | 输出 1912642 tok | 费用 ¥6.3424 | 1882s
进度 17010/17922 | 输入 2518672 tok | 输出 1913894 tok | 费用 ¥6.3465 | 1883s
进度 17020/17922 | 输入 2519419 tok | 输出 1914321 tok | 费用 ¥6.3481 | 1884s
进度 17030/17922 | 输入 2520315 tok | 输出 1914888 tok | 费用 ¥6.3501 | 1884s
进度 17040/17922 | 输入 2521876 tok | 输出 1916048 tok | 费用 ¥6.3540 | 1887s
